,HP_Pel_kW,HP_Qth_kW,TES_Qflow_kWh,TES_SoC,EB_Pel_kW,HSUB_Qdem_B_kW,ROOM_Tindoor_Cdeg,CTRL_Tth_Cdeg,CTRL_Qth_spilled_kW,CTRL_QDH_B_kW
2000-01-01 00:30:00,11.37884874206158,59.50000007224,0.0,-1.0,1.6666665864000052,67.9101562496616,292.4684815664597,20.0,0.0,0.0
2000-01-01 01:00:00,11.37884874206158,59.50000007224,0.0,-1.0,1.6666665864000052,67.91015624966138,292.4684815247991,20.0,0.0,0.0
2000-01-01 01:30:00,11.37884874206158,59.50000007224,0.0,-1.0,9.344617974912653,67.91015624966151,292.55260801169004,20.0,0.0,0.0
2000-01-01 02:00:00,11.37884874206158,59.50000007224,0.0,-1.0,9.344617974912653,67.91015624966158,292.55260801169356,20.0,0.0,0.0
2000-01-01 02:30:00,11.37884874206158,59.50000007224,0.0,-1.0,9.34461797491287,67.91015624966145,292.63798354151805,20.0,0.0,0.0
2000-01-01 03:00:00,11.37884874206158,59.50000007224,0.0,-1.0,9.34461797491287,67.91015624966163,292.6379835418714,20.0,0.0,0.0
2000-01-01 03:30:00,11.37884874206158,59.50000007224,0.0,-1.0,9.344617974912923,67.9101562496615,292.72455158090276,20.0,0.0,0.0
2000-01-01 04:00:00,11.37884874206158,59.50000007224,0.0,-1.0,9.344617974912923,67.91015624966158,292.724551580897,20.0,0.0,0.0
2000-01-01 04:30:00,11.37884874206158,59.50000007224,0.0,-1.0,9.34461797491287,67.91015624966148,292.8115855122932,20.0,0.0,0.0
2000-01-01 05:00:00,11.37884874206158,59.50000007224,0.0,-1.0,9.34461797491287,67.9101562496617,292.8115855123783,20.0,0.0,0.0
2000-01-01 05:30:00,11.37884874206158,59.50000007224,0.0,-1.0,9.344617974912998,67.91015624966157,292.9178110783363,20.0,0.0,0.0
2000-01-01 06:00:00,11.37884874206158,59.50000007224,0.0,-1.0,9.344617974912998,67.9101562496616,292.9178110783389,20.0,0.0,0.0
2000-01-01 06:30:00,11.37884874206158,59.50000007224,0.0,-1.0,9.344617974912886,78.523437494953,293.0107209954732,20.0,0.0,0.0
2000-01-01 07:00:00,11.37884874206158,59.50000007224,0.0,-1.0,9.344617974912886,78.52343749495297,293.0107210120756,20.0,0.0,0.0
2000-01-01 07:30:00,11.37884874206158,59.50000007224,0.0,-1.0,21.137152691903307,88.65429686941852,293.1021765694343,20.0,0.0,0.0
2000-01-01 08:00:00,11.37884874206158,59.50000007224,0.0,-1.0,21.137152691903307,88.65429686941874,293.1021765694168,20.0,0.0,0.0
2000-01-01 08:30:00,11.37884874206158,59.50000007224,0.0,-1.0,32.39366310797638,85.27734374893137,293.1129908746497,20.0,0.0,0.0
2000-01-01 09:00:00,11.37884874206158,59.50000007224,0.0,-1.0,32.39366310797638,85.27734374893143,293.112990874649,20.0,0.0,0.0
2000-01-01 09:30:00,11.37884874206158,59.50000007224,0.0,-1.0,28.641492974101592,79.88341692012663,293.15024278894276,20.0,0.0,0.0
2000-01-01 10:00:00,11.37884874206158,59.50000007224,0.0,-1.0,28.641492974101592,79.88341692060654,293.1502427889806,20.0,0.0,0.0
2000-01-01 10:30:00,11.37884874206158,59.50000007224,0.0,-1.0,22.64824094262948,76.0762079565714,293.1502341413049,20.0,0.0,0.0
2000-01-01 11:00:00,11.37884874206158,59.50000007224,0.0,-1.0,22.64824094262948,76.07620795244367,293.150234141572,20.0,0.0,0.0
2000-01-01 11:30:00,11.37884874206158,59.50000007224,0.0,-1.0,18.41800875578186,77.61709564424096,293.15022856396223,20.0,0.0,0.0
2000-01-01 12:00:00,11.37884874206158,59.50000007224,0.0,-1.0,18.41800875578186,77.61709563678843,293.15022856426566,20.0,0.0,0.0
2000-01-01 12:30:00,11.37884874206158,59.50000007224,0.0,-1.0,20.13010618283159,80.17116839655344,293.1502177081963,20.0,0.0,0.0
2000-01-01 13:00:00,11.37884874206158,59.50000007224,0.0,-1.0,20.13010618283159,80.17116839570177,293.1502177082599,20.0,0.0,0.0
2000-01-01 13:30:00,11.37884874206158,59.50000007224,0.0,-1.0,22.967964803846424,76.04880055789162,293.15020219954835,20.0,0.0,0.0
2000-01-01 14:00:00,11.37884874206158,59.50000007224,0.0,-1.0,22.967964803846424,76.04880050226367,293.1502022019241,20.0,0.0,0.0
2000-01-01 14:30:00,11.37884874206158,59.50000007224,0.0,-1.0,18.38755603335964,74.40169938095984,293.15019596890255,20.0,0.0,0.0
2000-01-01 15:00:00,11.37884874206158,59.50000007224,0.0,-1.0,18.38755603335964,74.40169937524787,293.1501959692348,20.0,0.0,0.0
2000-01-01 15:30:00,11.37884874206158,59.50000007224,0.0,-1.0,16.55744367000875,70.82879863861469,293.1502006299752,20.0,0.0,0.0
2000-01-01 16:00:00,11.37884874206158,59.50000007224,0.0,-1.0,16.55744367000875,70.82879863913043,293.15020062993534,20.0,0.0,0.0
