,HP_Pel_kW,HP_Qth_kW,TES_Qflow_kWh,TES_SoC,EB_Pel_kW,HSUB_Qdem_B_kW,ROOM_Tindoor_Cdeg,CTRL_Tth_Cdeg,CTRL_Qth_spilled_kW,CTRL_QDH_B_kW
2000-01-01 00:30:00,11.28624245320101,72.49999995875,11.499999958750006,-1.0,0.0,116.4096389834382,292.4684815664597,20.0,0.0,0.0
2000-01-01 01:00:00,11.28624245320101,72.49999995875,11.499999958750006,-1.0,0.0,116.40963898343782,292.4684815247991,20.0,0.0,0.0
2000-01-01 01:30:00,19.410977231258364,101.49999994224999,0.0,-1.0,16.56626560131981,116.40963898343804,292.55260801169004,20.0,0.0,0.0
2000-01-01 02:00:00,19.410977231258364,101.49999994224999,0.0,-1.0,16.56626560131981,116.40963898343817,292.55260801169356,20.0,0.0,0.0
2000-01-01 02:30:00,19.410977231258364,101.49999994224999,0.0,-1.0,16.566265601320207,116.40963898343794,292.63798354151805,20.0,0.0,0.0
2000-01-01 03:00:00,19.410977231258364,101.49999994224999,0.0,-1.0,16.566265601320207,116.40963898343824,292.6379835418714,20.0,0.0,0.0
2000-01-01 03:30:00,19.410977231258364,101.49999994224999,0.0,-1.0,16.56626560132028,116.40963898343803,292.72455158090276,20.0,0.0,0.0
2000-01-01 04:00:00,19.410977231258364,101.49999994224999,0.0,-1.0,16.56626560132028,116.40963898343817,292.724551580897,20.0,0.0,0.0
2000-01-01 04:30:00,19.410977231258364,101.49999994224999,0.0,-1.0,16.566265601320207,116.409638983438,292.8115855122932,20.0,0.0,0.0
2000-01-01 05:00:00,19.410977231258364,101.49999994224999,0.0,-1.0,16.566265601320207,116.40963898343834,292.8115855123783,20.0,0.0,0.0
2000-01-01 05:30:00,19.410977231258364,101.49999994224999,0.0,-1.0,16.56626560132039,116.40963898343814,292.9178110783363,20.0,0.0,0.0
2000-01-01 06:00:00,19.410977231258364,101.49999994224999,0.0,-1.0,16.56626560132039,116.4096389834382,292.9178110783389,20.0,0.0,0.0
2000-01-01 06:30:00,19.410977231258364,101.49999994224999,0.0,-1.0,16.566265601320225,134.60262080565604,293.0107209954732,20.0,0.0,0.0
2000-01-01 07:00:00,19.410977231258364,101.49999994224999,0.0,-1.0,16.566265601320225,134.60262080565602,293.0107210120756,20.0,0.0,0.0
2000-01-01 07:30:00,19.410977231258364,101.49999994224999,0.0,-1.0,36.78068984822891,151.96864891547042,293.1021765694343,20.0,0.0,0.0
2000-01-01 08:00:00,19.410977231258364,101.49999994224999,0.0,-1.0,36.78068984822891,151.96864891547085,293.1021765694168,20.0,0.0,0.0
2000-01-01 08:30:00,19.410977231258364,101.49999994224999,0.0,-1.0,56.076276636912056,146.179972886296,293.1129908746497,20.0,0.0,0.0
2000-01-01 09:00:00,19.410977231258364,101.49999994224999,0.0,-1.0,56.076276636912056,146.17997288629613,293.112990874649,20.0,0.0,0.0
2000-01-01 09:30:00,19.410977231258364,101.49999994224999,0.0,-1.0,49.64441438227348,136.93385846806618,293.15024278894276,20.0,0.0,0.0
2000-01-01 10:00:00,19.410977231258364,101.49999994224999,0.0,-1.0,49.64441438227348,136.93385846888881,293.1502427889806,20.0,0.0,0.0
2000-01-01 10:30:00,19.410977231258364,101.49999994224999,0.0,-1.0,39.37095391848758,130.40765023269364,293.1502341413049,20.0,0.0,0.0
2000-01-01 11:00:00,19.410977231258364,101.49999994224999,0.0,-1.0,39.37095391848758,130.407650225618,293.150234141572,20.0,0.0,0.0
2000-01-01 11:30:00,19.410977231258364,101.49999994224999,0.0,-1.0,32.11961142596445,133.0489956417102,293.15022856396223,20.0,0.0,0.0
2000-01-01 12:00:00,19.410977231258364,101.49999994224999,0.0,-1.0,32.11961142596445,133.04899562893527,293.15022856426566,20.0,0.0,0.0
2000-01-01 12:30:00,19.410977231258364,101.49999994224999,0.0,-1.0,35.05443965187254,137.42711378270053,293.1502177081963,20.0,0.0,0.0
2000-01-01 13:00:00,19.410977231258364,101.49999994224999,0.0,-1.0,35.05443965187254,137.4271137812406,293.1502177082599,20.0,0.0,0.0
2000-01-01 13:30:00,19.410977231258364,101.49999994224999,0.0,-1.0,39.919015376656226,130.360669257211,293.15020219954835,20.0,0.0,0.0
