#1	
double tab3(25,2)	
0	22.26027397
1	22.26027397
2	22.26027397
3	22.26027397
4	22.26027397
5	22.26027397
6	22.26027397
7	103.8812785
8	181.7922374
9	155.8219178
10	118.7214612
11	100.1712329
12	122.4315068
13	152.1118721
14	129.8515982
15	126.1415525
16	107.5913242
17	118.7214612
18	185.5022831
19	181.7922374
20	148.4018265
21	133.5616438
22	166.9520548
23	111.3013699
24	22.26027397
