,HP_Pel_kW,HP_Qth_kW,TES_Qflow_kWh,TES_SoC,EB_Pel_kW,HSUB_Qdem_B_kW,ROOM_Tindoor_Cdeg,CTRL_Tth_Cdeg,CTRL_Qth_spilled_kW,CTRL_QDH_B_kW
2000-01-01 00:30:00,8.924587247576973,46.66666671757999,0.0,-1.0,15.925925869355561,53.194384988319406,292.4684815664597,20.0,0.0,0.0
2000-01-01 01:00:00,0.0,0.0,0.0,-1.0,0.0,53.19438498831923,292.4684815247991,20.0,0.0,61.0
2000-01-01 01:30:00,8.924587247576973,46.66666671757999,0.0,-1.0,7.2530203008213725,53.19438498831934,292.55260801169004,20.0,0.0,0.0
2000-01-01 02:00:00,8.924587247576973,46.66666671757999,0.0,-1.0,7.2530203008213725,53.1943849883194,292.55260801169356,20.0,0.0,0.0
2000-01-01 02:30:00,8.924587247576973,46.66666671757999,0.0,-1.0,7.253020300821563,53.194384988319285,292.63798354151805,20.0,0.0,0.0
2000-01-01 03:00:00,8.924587247576973,46.66666671757999,0.0,-1.0,7.253020300821563,53.194384988319435,292.6379835418714,20.0,0.0,0.0
2000-01-01 03:30:00,8.924587247576973,46.66666671757999,0.0,-1.0,7.2530203008216,53.19438498831933,292.72455158090276,20.0,0.0,0.0
2000-01-01 04:00:00,8.924587247576973,46.66666671757999,0.0,-1.0,7.2530203008216,53.1943849883194,292.724551580897,20.0,0.0,0.0
2000-01-01 04:30:00,8.924587247576973,46.66666671757999,0.0,-1.0,7.253020300821563,53.194384988319385,292.81158551228214,20.0,0.0,0.0
2000-01-01 05:00:00,8.924587247576973,46.66666671757999,0.0,-1.0,7.253020300821563,53.19438498831924,292.8115855123663,20.0,0.0,0.0
2000-01-01 05:30:00,8.924587247576973,46.66666671757999,0.0,-1.0,7.253020300821382,53.19438498831933,293.0130171832324,20.0,0.0,0.0
2000-01-01 06:00:00,8.924587247576973,46.66666671757999,0.0,-1.0,7.253020300821382,53.19438498831942,293.01301718322554,20.0,0.0,0.0
2000-01-01 06:30:00,8.924587247576973,46.66666671757999,0.0,-1.0,7.253020300821581,61.50782438721863,293.1388150623868,20.0,0.0,0.0
2000-01-01 07:00:00,8.924587247576973,46.66666671757999,0.0,-1.0,7.253020300821581,61.50782438721863,293.13881506206735,20.0,0.0,0.0
2000-01-01 07:30:00,8.924587247576973,46.66666671757999,0.0,-1.0,16.490175188487378,67.43204046789867,293.150473338159,20.0,0.0,0.0
2000-01-01 08:00:00,8.924587247576973,46.66666671757999,0.0,-1.0,16.490175188487378,67.4320404164427,293.1504733388745,20.0,0.0,0.0
2000-01-01 08:30:00,8.924587247576973,46.66666671757999,0.0,-1.0,23.07263744318078,62.6762652826836,293.15044799641544,20.0,0.0,0.0
2000-01-01 09:00:00,8.924587247576973,46.66666671757999,0.0,-1.0,23.07263744318078,62.6762652610693,293.150447996557,20.0,0.0,0.0
2000-01-01 09:30:00,8.924587247576973,46.66666671757999,0.0,-1.0,17.788442826099224,56.88626286255084,293.1504298272928,20.0,0.0,0.0
2000-01-01 10:00:00,8.924587247576973,46.66666671757999,0.0,-1.0,17.788442826099224,56.88626285598285,293.15042982697565,20.0,0.0,0.0
2000-01-01 10:30:00,8.924587247576973,46.66666671757999,0.0,-1.0,11.355106820447611,53.97054059899833,293.1501839877284,20.0,0.0,0.0
2000-01-01 11:00:00,8.924587247576973,46.66666671757999,0.0,-1.0,11.355106820447611,53.97054060939158,293.1501839880015,20.0,0.0,0.0
2000-01-01 11:30:00,8.924587247576973,46.66666671757999,0.0,-1.0,8.115415435346204,54.65910821262966,293.1503398480544,20.0,0.0,0.0
2000-01-01 12:00:00,8.924587247576973,46.66666671757999,0.0,-1.0,8.115415435346204,54.659108225301075,293.15033984818604,20.0,0.0,0.0
2000-01-01 12:30:00,8.924587247576973,46.66666671757999,0.0,-1.0,8.880490564134531,58.36427740295922,293.14976680128956,20.0,0.0,0.0
2000-01-01 13:00:00,8.924587247576973,46.66666671757999,0.0,-1.0,8.880490564134531,58.36427740357812,293.14976680131446,20.0,0.0,0.0
2000-01-01 13:30:00,8.924587247576973,46.66666671757999,0.0,-1.0,12.997345206664585,55.34322671190562,293.1501597591593,20.0,0.0,0.0
2000-01-01 14:00:00,8.924587247576973,46.66666671757999,0.0,-1.0,12.997345206664585,55.34322672395842,293.1501597585644,20.0,0.0,0.0
2000-01-01 14:30:00,8.924587247576973,46.66666671757999,0.0,-1.0,9.640622229309361,54.241846269789164,293.1501559792538,20.0,0.0,0.0
2000-01-01 15:00:00,8.924587247576973,46.66666671757999,0.0,-1.0,9.640622229309361,54.241846270715925,293.15015597895393,20.0,0.0,0.0
2000-01-01 15:30:00,8.924587247576973,46.66666671757999,0.0,-1.0,8.416866170151035,51.621270336575606,293.1501628665668,20.0,0.0,0.0
2000-01-01 16:00:00,8.924587247576973,46.66666671757999,0.0,-1.0,8.416866170151035,51.62127033915729,293.15016286644465,20.0,0.0,0.0
2000-01-01 16:30:00,8.924587247576973,46.66666671757999,0.0,-1.0,5.505115135085883,52.00127995619459,293.150165826456,20.0,0.0,0.0
2000-01-01 17:00:00,8.924587247576973,46.66666671757999,0.0,-1.0,5.505115135085883,52.00127995916303,293.1501658264561,20.0,0.0,0.0
2000-01-01 17:30:00,8.924587247576973,46.66666671757999,0.0,-1.0,5.9273480462033685,58.03785011468761,293.1501680107169,20.0,0.0,0.0
2000-01-01 18:00:00,8.924587247576973,46.66666671757999,0.0,-1.0,5.9273480462033685,58.03785012314339,293.15016801118645,20.0,0.0,0.0
2000-01-01 18:30:00,8.924587247576973,46.66666671757999,0.0,-1.0,12.634648228403769,54.71996085669923,293.15071096152025,20.0,0.0,0.0
2000-01-01 19:00:00,8.924587247576973,46.66666671757999,0.0,-1.0,12.634648228403769,54.719960823256244,293.1507109620286,20.0,0.0,0.0
2000-01-01 19:30:00,8.924587247576973,46.66666671757999,0.0,-1.0,8.9481045618625,50.00388113525906,293.15026612091543,20.0,0.0,0.0
2000-01-01 20:00:00,8.924587247576973,46.66666671757999,0.0,-1.0,8.9481045618625,50.0038811460644,293.15026612065463,20.0,0.0,0.0
2000-01-01 20:30:00,8.924587247576973,46.66666671757999,0.0,-1.0,3.7080160316493376,46.425932242527686,293.15047026524775,20.0,0.0,0.0
2000-01-01 21:00:00,8.924587247576973,46.66666671757999,0.0,-1.0,3.7080160316493376,46.42593228458132,293.15047026677234,20.0,0.0,0.0
2000-01-01 21:30:00,8.849238308079634,46.42593228458133,0.0,-1.0,0.0,48.50916623374771,293.15027043049395,20.0,0.0,0.0
2000-01-01 22:00:00,8.849238308079634,46.42593228458133,0.0,-1.0,0.0,48.5091662423812,293.15027043097575,20.0,0.0,0.0
2000-01-01 22:30:00,8.924587247576973,46.66666671757999,0.0,-1.0,2.0472216942235613,43.7064211480654,293.14972545692405,20.0,0.0,0.0
2000-01-01 23:00:00,8.924587247576973,46.66666671757999,0.0,-1.0,2.0472216942235613,43.70642112408898,293.14972545564007,20.0,0.0,0.0
2000-01-01 23:30:00,8.017958907770334,43.70642112408898,0.0,-1.0,0.0,34.19136751890636,293.1500975500047,20.0,0.0,0.0
2000-01-02 00:00:00,8.017958907770334,43.70642112408898,0.0,-1.0,0.0,34.19136751890636,293.1500975500047,20.0,0.0,0.0
2000-01-02 00:30:00,5.4021923305394415,34.19136751890637,0.0,-1.0,0.0,33.75052233940595,293.15009475699566,20.0,0.0,0.0
2000-01-02 01:00:00,5.4021923305394415,34.19136751890637,0.0,-1.0,0.0,33.7505222383104,293.15009475707006,20.0,0.0,0.0
2000-01-02 01:30:00,5.292220256747271,33.75052223831041,0.0,-1.0,0.0,33.31705989219784,293.1500942964604,20.0,0.0,0.0
2000-01-02 02:00:00,5.292220256747271,33.75052223831041,0.0,-1.0,0.0,33.317059891116834,293.15009429648956,20.0,0.0,0.0
2000-01-02 02:30:00,5.189076998591165,33.3333333697,0.016273478583164757,-1.0,0.0,32.87451233822829,293.1500986305401,20.0,0.0,0.0
2000-01-02 03:00:00,5.189076998591165,33.3333333697,0.016273478583164757,-1.0,0.0,32.87451234756625,293.1500986302677,20.0,0.0,0.0
2000-01-02 03:30:00,5.189076998591165,33.3333333697,0.4588210221337462,-1.0,0.0,32.40206790626321,293.1501072529509,20.0,0.0,0.0
2000-01-02 04:00:00,5.189076998591165,33.3333333697,0.4588210221337462,-1.0,0.0,32.402067905369734,293.1501072530377,20.0,0.0,0.0
2000-01-02 04:30:00,5.189076998591165,33.3333333697,0.9312654643302687,-1.0,0.0,31.88734888971473,293.1501170498843,20.0,0.0,0.0
2000-01-02 05:00:00,5.189076998591165,33.3333333697,0.9312654643302687,-1.0,0.0,31.887348892942768,293.15011705004804,20.0,0.0,0.0
