,HP_Pel_kW,HP_Qth_kW,TES_Qflow_kWh,TES_SoC,EB_Pel_kW,HSUB_Qdem_B_kW,ROOM_Tindoor_Cdeg,CTRL_Tth_Cdeg,CTRL_Qth_spilled_kW,CTRL_QDH_B_kW
2000-01-01 00:30:00,8.25524318579652,43.16666661853,0.0,-1.0,19.814814868300004,49.788812785140024,292.4684815664597,20.0,0.0,0.0
2000-01-01 01:00:00,8.25524318579652,43.16666661853,0.0,-1.0,19.814814868300004,49.78881278513986,292.4684815247991,20.0,0.0,0.0
2000-01-01 01:30:00,8.25524318579652,43.16666661853,0.0,-1.0,7.3579401851220725,49.78881278513996,292.55260801169004,20.0,0.0,0.0
2000-01-01 02:00:00,8.25524318579652,43.16666661853,0.0,-1.0,7.3579401851220725,49.78881278514001,292.55260801169356,20.0,0.0,0.0
2000-01-01 02:30:00,8.25524318579652,43.16666661853,0.0,-1.0,7.357940185122234,49.78881278513992,292.63798354151805,20.0,0.0,0.0
2000-01-01 03:00:00,8.25524318579652,43.16666661853,0.0,-1.0,7.357940185122234,49.78881278514005,292.6379835418714,20.0,0.0,0.0
2000-01-01 03:30:00,8.25524318579652,43.16666661853,0.0,-1.0,7.357940185122279,49.788812785139946,292.72455158090276,20.0,0.0,0.0
2000-01-01 04:00:00,8.25524318579652,43.16666661853,0.0,-1.0,7.357940185122279,49.78881278514001,292.724551580897,20.0,0.0,0.0
2000-01-01 04:30:00,8.25524318579652,43.16666661853,0.0,-1.0,7.357940185122234,49.78881278513994,292.8115855122932,20.0,0.0,0.0
2000-01-01 05:00:00,8.25524318579652,43.16666661853,0.0,-1.0,7.357940185122234,49.788812785140095,292.8115855123783,20.0,0.0,0.0
2000-01-01 05:30:00,8.25524318579652,43.16666661853,0.0,-1.0,7.357940185122334,49.78881278514,292.9178110783363,20.0,0.0,0.0
2000-01-01 06:00:00,8.25524318579652,43.16666661853,0.0,-1.0,7.357940185122334,49.788812785140024,292.9178110783389,20.0,0.0,0.0
2000-01-01 06:30:00,8.25524318579652,43.16666661853,0.0,-1.0,7.357940185122253,57.57001521699991,293.0107209954732,20.0,0.0,0.0
2000-01-01 07:00:00,8.25524318579652,43.16666661853,0.0,-1.0,7.357940185122253,57.57001521699989,293.0107210120756,20.0,0.0,0.0
2000-01-01 07:30:00,8.25524318579652,43.16666661853,0.0,-1.0,16.003720664966547,64.99752663213314,293.1021765694343,20.0,0.0,0.0
2000-01-01 08:00:00,8.25524318579652,43.16666661853,0.0,-1.0,16.003720664966547,64.99752663213333,293.1021765694168,20.0,0.0,0.0
2000-01-01 08:30:00,8.25524318579652,43.16666661853,0.0,-1.0,24.25651112622592,62.52168949693341,293.1129908746497,20.0,0.0,0.0
2000-01-01 09:00:00,8.25524318579652,43.16666661853,0.0,-1.0,24.25651112622592,62.521689496933455,293.112990874649,20.0,0.0,0.0
2000-01-01 09:30:00,8.25524318579652,43.16666661853,0.0,-1.0,21.505580976003838,58.567093779780414,293.15024278894276,20.0,0.0,0.0
2000-01-01 10:00:00,8.25524318579652,43.16666661853,0.0,-1.0,21.505580976003838,58.56709378013227,293.1502427889806,20.0,0.0,0.0
2000-01-01 10:30:00,8.25524318579652,43.16666661853,0.0,-1.0,17.111585735113632,55.77581152115207,293.1502341413049,20.0,0.0,0.0
2000-01-01 11:00:00,8.25524318579652,43.16666661853,0.0,-1.0,17.111585735113632,55.775811518125806,293.150234141572,20.0,0.0,0.0
2000-01-01 11:30:00,8.25524318579652,43.16666661853,0.0,-1.0,14.010160999550902,56.905524259880906,293.15022856396223,20.0,0.0,0.0
2000-01-01 12:00:00,8.25524318579652,43.16666661853,0.0,-1.0,14.010160999550902,56.905524254417024,293.15022856426566,20.0,0.0,0.0
2000-01-01 12:30:00,8.25524318579652,43.16666661853,0.0,-1.0,15.265397373207806,58.77806081593024,293.1502177081963,20.0,0.0,0.0
2000-01-01 13:00:00,8.25524318579652,43.16666661853,0.0,-1.0,15.265397373207806,58.77806081530582,293.1502177082599,20.0,0.0,0.0
2000-01-01 13:30:00,8.25524318579652,43.16666661853,0.0,-1.0,17.34599355197314,55.75571759239157,293.15020219954835,20.0,0.0,0.0
