,trafo_SK90,LN0a,LO0b,LO0a,LAA20,LBB21,LCC23,Llugnw24,Llugnw26,Llugnw27,Lslusn8,Lslusn9,Lslusn10,Lfarvt13,Lslusn11,Lfarvt12,LDD4,LEE5,Lfarvt16,Llugne17,Llugne18,Llugne19,LF 4,Luddnw3,LG2,Llugnw6,Llugnw7,LH5,LA1,LB2,LC5,LD4,LE7,LM8,LN4,LO7,LI5,LJ8,LK9,LL 1,LU 1,LW5,LV4,LX6,LY8,LZ11,LP10,LQ3,LR4,LS 7,LT8,LN0b,LO1
2000-01-01 00:30:00,91.51175902567624,54.09968414041681,0.0916659963504571,0.0912092050290261,51.68772450851148,27.204933964347244,0.0,116.6254339091481,131.4120449021778,134.14907109462996,82.00338043129001,82.58943004076795,84.84480845951484,118.07120759497494,85.50096219528417,114.88446622075983,59.96269763112878,0.0,119.77899586972865,57.74202257007973,59.31083601333319,61.83145031676091,29.925879516899016,189.7729372822415,39.058318100488215,159.46067005259638,168.33280423112674,29.97850741917052,66.43897151140892,62.44105295520055,30.35651943810714,0.0,30.536787316792225,57.046835061146126,19.803996600176934,62.425649445879785,54.39391422609007,0.0,0.0,0.0,62.70167758734936,0.0,60.995363917401676,57.17567566075873,62.959678484263804,28.14686056390473,67.23543180795588,129.12359762119394,27.911699942539787,64.2325097845658,0.0,54.11968113441513,0.12628582285063883
2000-01-01 01:00:00,62.97605838056044,37.22601643335467,0.0916659963523961,0.0912092050290261,51.31781718776256,23.05785025623005,0.0,76.24158597348581,85.90804238435976,87.69731948085881,78.23428413577832,78.7933973262882,80.9451124765413,23.05921192693918,81.57110761882673,22.436843898347558,59.540567020311826,0.0,23.392741604123856,57.319890745543,58.87723513988091,61.37942210967084,29.542871703390087,67.53381656493221,38.560349418743684,99.13750078860669,104.6533512414525,29.593496012300218,22.733844003987393,22.300719647822266,11.237701762523484,5.3738058528492185e-14,11.261566800658782,56.605458597811406,19.66294902428116,61.98240174077069,46.05624718957977,2.6869029264246092e-14,2.1495223411396874e-13,0.0,62.197597003931385,0.0,60.50301950464404,56.715533840398265,62.44730877362578,15.233425625006136,10.572314629557884,19.710963941173095,14.978944419539864,11.81328993385747,0.0,37.243784138364624,0.12628582285063883
2000-01-01 01:30:00,58.68353953231756,34.687799203686275,0.0916659963523961,0.0912092050290261,58.97334871290112,35.82122813477559,0.0,95.44224311356419,107.54309688035126,109.78298496060886,55.66365320106652,56.061461950522606,57.59240618084655,35.869099573129745,58.03780140482841,34.90099273325084,30.044306890446133,0.0,36.38791215178281,31.762919591177358,32.625897592874544,34.01244530763516,16.605162693523038,106.22842476159487,50.945491626899134,117.40663633716576,123.93895199023217,16.621103990016316,35.903505608634276,34.80121708367713,17.73193561028555,0.0,17.791828620518615,48.864310331510275,10.554690126108957,17.872942928784514,71.42310618377199,0.0,0.0,4.299044682279375e-13,80.61423048333585,0.0,31.60043273713381,43.86869484292674,23.970183513650397,23.331640240314105,16.379475211804444,30.72445009848114,23.065670701039867,18.494214489426657,0.0,34.705205993507676,0.12628582285063883
2000-01-01 02:00:00,52.79417167024645,31.205311809015114,0.0916659963523961,0.0912092050290261,58.88945392829631,23.001223030758606,0.0,75.65959578553915,85.25226329614549,87.02788194496522,55.58348480037315,55.9807206141819,57.509459934417194,35.81820046796285,57.95421368733532,34.851467394708116,30.002382826392566,1.71961787291175e-12,36.336276839228795,31.716677568796225,32.57839920462755,33.96292831494749,16.546770894321376,67.35521650994481,50.7663939842122,98.26499609400138,103.73230179459603,16.562544203179552,22.671694698154337,22.242099961683405,11.208878040823834,0.0,11.232559241674407,48.790562422430895,10.539868327898706,17.847898384462702,45.94260424237318,0.0,0.0,0.0,80.49817014476461,1.3434514632123046e-14,31.555033048795572,43.80566414458101,23.935685034031344,23.297683919801173,16.355867109322215,30.681142488031675,23.03286958892703,18.468042950812805,0.0,31.222257850974128,0.12628582285063883
2000-01-01 02:30:00,58.68353953231632,34.687799203686275,0.0916659963523961,0.0912092050290261,58.97334871290118,35.82122813477565,0.0,95.44224311356369,107.5430968803508,109.78298496060519,55.6636532010641,56.06146195052036,57.59240618084473,35.86909957313594,58.03780140482646,34.90099273325546,30.04430689041795,1.71961787291175e-12,36.38791215178912,31.762919591179067,32.62589759287795,34.0124453076388,16.605162693523038,106.22842476160032,50.94549162689525,117.40663633716284,123.93895199023098,16.621103990015467,35.9035056086346,34.80121708367713,17.731935610289078,0.0,17.791828620518196,48.864310331510694,10.554690126107667,17.872942928762676,71.42310618377928,0.0,0.0,0.0,80.61423048333221,0.0,31.600432737135563,43.86869484292115,23.970183513648692,23.33164024031368,16.37947521180423,30.72445009848795,23.06567070104245,18.494214489427563,0.0,34.705205993489855,0.12628582285063883
2000-01-01 03:00:00,52.794171670246605,31.205311809016358,0.0916659963523961,0.0912092050290261,58.88945392829644,23.001223030758972,4.299044682279375e-13,75.65959578552622,85.25226329613642,87.02788194494887,55.58348480037171,55.98072061417996,57.50945993441561,35.81820046796564,57.95421368733381,34.8514673947108,30.0023828263389,0.0,36.336276839232426,31.71667756879452,32.57839920462437,33.96292831494602,16.546770894324844,67.35521650995004,50.766393984222425,98.26499609400116,103.73230179459387,16.562544203178714,22.671694698154557,22.24209996168319,11.208878040827297,0.0,11.232559241674407,48.79056242243154,10.539868327900068,17.847898384469975,45.94260424238091,0.0,0.0,0.0,80.49817014476122,0.0,31.55503304879563,43.805664144582714,23.935685034032254,23.297683919800313,16.355867109322002,30.681142488038493,23.032869588927916,18.46804295081213,0.0,31.222257850991937,0.12628582285063883
2000-01-01 03:30:00,57.55497317963929,34.020457357682865,0.0916659963523961,0.0912092050290261,57.83524377259411,35.13597049657779,0.0,93.5881192843377,105.45389390178241,107.65026844202472,54.594289502018746,54.98445588142998,56.48598888753432,35.184029271056325,56.92282754979408,34.23441247562069,29.482845711772683,0.0,35.69293295614281,31.143387137533125,31.989532842775798,33.34903608810764,16.286760128368385,104.11682822009298,49.96307004043489,115.11350216952563,121.51823154054627,16.302086639146896,35.16515511008687,34.10942651113369,17.39236734709388,0.0,17.449937612031924,47.89302890459782,10.354263478804775,17.526194306548753,70.06089607147207,0.0,0.0,0.0,79.0630570603777,0.0,31.000227762404077,43.025873040546465,23.511378872417982,22.875686345198964,16.062071311783875,30.141485789629634,22.620112104052907,18.143862429605985,0.0,34.03777645361594,0.12628582285063883
2000-01-01 04:00:00,51.674894276153594,30.543461815368488,0.0916659963523961,0.0912092050290261,57.753325471070546,22.32488050793144,0.0,73.83852780619759,83.2003072257622,84.93318810640214,54.516022093841265,54.90562912333631,56.405009503263024,35.13431669036468,56.841221905338514,34.18604163726234,29.4418682014519,0.0,35.64250133001948,31.098267902355868,31.943187747135443,33.30072140109425,16.2296783970023,65.3274191759594,49.788009105916395,96.01783141869423,101.3601085055619,16.244843941475857,21.977591252454207,21.57450498796482,10.876529131968374,0.0,10.898807848986705,47.82115133211709,10.339782603635816,17.501735070218096,44.59423244339584,0.0,0.0,0.0,78.94975142992955,0.0,30.955892512789145,42.9643340587791,23.47769549647265,22.842553478639122,16.0390272806526,30.099176644535824,22.588084059641478,18.118295448823574,0.0,30.560321763830125,0.12628582285063883
2000-01-01 04:30:00,46.67960098911149,27.5896449018438,0.0916659963523961,0.0912092050290261,46.85028403495119,28.52039179754185,9.612956147885667e-13,75.74893135187098,85.35292546785655,87.1306406900921,44.286452156808636,44.602952011511796,45.82098360864858,28.56993565405597,46.175343646903336,27.798833216281633,24.05250254322831,0.0,28.98317273457902,25.179579743706483,25.863692655570684,26.962857631638983,13.216110208275369,83.91202315315647,40.48837683443086,93.07618967299689,98.25479856340405,13.226143999344025,28.146370388765995,27.48018761355454,14.123923565248505,0.0,14.161571316925523,38.58095974165801,8.41707330951031,14.173980501747069,56.901692491604884,0.0,0.0,4.299044682279375e-13,64.11029662464192,0.0,25.213137287060455,34.899597084790265,19.088498937510202,18.485723692531835,13.002820075766836,24.50912616580227,18.319386927534232,14.76030936099732,4.299044682279375e-13,27.606125682424974,0.12628582285063883
2000-01-01 05:00:00,46.67960098911149,27.5896449018438,0.0916659963523961,0.0912092050290261,46.85028403495119,28.52039179754185,9.612956147885667e-13,75.74893135187098,85.35292546785655,87.1306406900921,44.286452156808636,44.602952011511796,45.82098360864858,28.56993565405597,46.175343646903336,27.798833216281633,24.05250254322831,0.0,28.98317273457902,25.179579743706483,25.863692655570684,26.962857631638983,13.216110208275369,83.91202315315647,40.48837683443086,93.07618967299689,98.25479856340405,13.226143999344025,28.146370388765995,27.48018761355454,14.123923565248505,0.0,14.161571316925523,38.58095974165801,8.41707330951031,14.173980501747069,56.901692491604884,0.0,0.0,4.299044682279375e-13,64.11029662464192,0.0,25.213137287060455,34.899597084790265,19.088498937510202,18.485723692531835,13.002820075766836,24.50912616580227,18.319386927534232,14.76030936099732,4.299044682279375e-13,27.606125682424974,0.12628582285063883
