,DH_PE_MW
2000-01-04 06:30:00,0.0
2000-01-04 07:00:00,0.0
2000-01-04 07:30:00,0.0
2000-01-04 08:00:00,0.0
2000-01-04 08:30:00,0.0
2000-01-04 09:00:00,0.0
2000-01-04 09:30:00,0.0
2000-01-04 10:00:00,0.0
2000-01-04 10:30:00,0.0
2000-01-04 11:00:00,0.0
2000-01-04 11:30:00,0.0
2000-01-04 12:00:00,0.0
2000-01-04 12:30:00,0.0
2000-01-04 13:00:00,0.0
2000-01-04 13:30:00,0.0
2000-01-04 14:00:00,0.0
2000-01-04 14:30:00,0.0
2000-01-04 15:00:00,0.0
2000-01-04 15:30:00,0.0
2000-01-04 16:00:00,0.0
2000-01-04 16:30:00,0.0
2000-01-04 17:00:00,0.0
2000-01-04 17:30:00,0.0
2000-01-04 18:00:00,0.0
2000-01-04 18:30:00,0.0
2000-01-04 19:00:00,0.0
2000-01-04 19:30:00,0.0
2000-01-04 20:00:00,120.21241727875783
2000-01-04 20:30:00,0.0
2000-01-04 21:00:00,108.9225551998815
2000-01-04 21:30:00,0.0
2000-01-04 22:00:00,103.49224398482178
2000-01-04 22:30:00,0.0
2000-01-04 23:00:00,113.2694254719408
2000-01-04 23:30:00,0.0
2000-01-05 00:00:00,0.0
2000-01-05 00:30:00,0.0
2000-01-05 01:00:00,0.0
2000-01-05 01:30:00,0.0
2000-01-05 02:00:00,0.0
2000-01-05 02:30:00,0.0
2000-01-05 03:00:00,0.0
2000-01-05 03:30:00,0.0
2000-01-05 04:00:00,0.0
2000-01-05 04:30:00,0.0
2000-01-05 05:00:00,0.0
2000-01-05 05:30:00,0.0
2000-01-05 06:00:00,0.0
2000-01-05 06:30:00,0.0
2000-01-05 07:00:00,0.0
2000-01-05 07:30:00,0.0
2000-01-05 08:00:00,0.0
2000-01-05 08:30:00,0.0
2000-01-05 09:00:00,0.0
2000-01-05 09:30:00,0.0
2000-01-05 10:00:00,0.0
2000-01-05 10:30:00,0.0
2000-01-05 11:00:00,0.0
2000-01-05 11:30:00,0.0
2000-01-05 12:00:00,0.0
2000-01-05 12:30:00,0.0
2000-01-05 13:00:00,0.0
2000-01-05 13:30:00,0.0
2000-01-05 14:00:00,0.0
2000-01-05 14:30:00,0.0
2000-01-05 15:00:00,0.0
2000-01-05 15:30:00,0.0
2000-01-05 16:00:00,0.0
2000-01-05 16:30:00,0.0
2000-01-05 17:00:00,0.0
2000-01-05 17:30:00,0.0
2000-01-05 18:00:00,0.0
2000-01-05 18:30:00,0.0
2000-01-05 19:00:00,0.0
2000-01-05 19:30:00,0.0
2000-01-05 20:00:00,123.86642052503048
2000-01-05 20:30:00,0.0
2000-01-05 21:00:00,113.32213911143396
2000-01-05 21:30:00,0.0
2000-01-05 22:00:00,108.68086678208077
2000-01-05 22:30:00,0.0
2000-01-05 23:00:00,119.2280343674906
2000-01-05 23:30:00,0.0
2000-01-06 00:00:00,0.0
2000-01-06 00:30:00,0.0
2000-01-06 01:00:00,0.0
2000-01-06 01:30:00,0.0
2000-01-06 02:00:00,0.0
2000-01-06 02:30:00,0.0
2000-01-06 03:00:00,0.0
2000-01-06 03:30:00,0.0
2000-01-06 04:00:00,0.0
2000-01-06 04:30:00,0.0
2000-01-06 05:00:00,0.0
2000-01-06 05:30:00,0.0
2000-01-06 06:00:00,0.0
2000-01-06 06:30:00,0.0
2000-01-06 07:00:00,0.0
2000-01-06 07:30:00,0.0
2000-01-06 08:00:00,0.0
2000-01-06 08:30:00,0.0
2000-01-06 09:00:00,0.0
2000-01-06 09:30:00,0.0
2000-01-06 10:00:00,0.0
2000-01-06 10:30:00,0.0
2000-01-06 11:00:00,0.0
2000-01-06 11:30:00,0.0
2000-01-06 12:00:00,0.0
2000-01-06 12:30:00,0.0
2000-01-06 13:00:00,0.0
2000-01-06 13:30:00,0.0
2000-01-06 14:00:00,130.88111602128154
2000-01-06 14:30:00,0.0
2000-01-06 15:00:00,125.14652653176826
2000-01-06 15:30:00,0.0
2000-01-06 16:00:00,125.07338917757127
2000-01-06 16:30:00,0.0
2000-01-06 17:00:00,120.27907456945836
2000-01-06 17:30:00,0.0
2000-01-06 18:00:00,124.86835997409467
2000-01-06 18:30:00,0.0
2000-01-06 19:00:00,142.6831639866392
2000-01-06 19:30:00,0.0
2000-01-06 20:00:00,141.47786418198834
2000-01-06 20:30:00,0.0
2000-01-06 21:00:00,131.04753277438994
2000-01-06 21:30:00,0.0
2000-01-06 22:00:00,126.4858243090734
2000-01-06 22:30:00,0.0
2000-01-06 23:00:00,137.08115081512167
2000-01-06 23:30:00,0.0
2000-01-07 00:00:00,120.77130284926066
2000-01-07 00:30:00,0.0
2000-01-07 01:00:00,0.0
2000-01-07 01:30:00,0.0
2000-01-07 02:00:00,0.0
2000-01-07 02:30:00,0.0
2000-01-07 03:00:00,0.0
2000-01-07 03:30:00,0.0
2000-01-07 04:00:00,0.0
2000-01-07 04:30:00,0.0
2000-01-07 05:00:00,0.0
2000-01-07 05:30:00,0.0
2000-01-07 06:00:00,0.0
2000-01-07 06:30:00,0.0
2000-01-07 07:00:00,0.0
2000-01-07 07:30:00,0.0
2000-01-07 08:00:00,0.0
2000-01-07 08:30:00,0.0
2000-01-07 09:00:00,0.0
2000-01-07 09:30:00,0.0
2000-01-07 10:00:00,0.0
2000-01-07 10:30:00,0.0
2000-01-07 11:00:00,0.0
2000-01-07 11:30:00,0.0
2000-01-07 12:00:00,0.0
2000-01-07 12:30:00,0.0
2000-01-07 13:00:00,0.0
2000-01-07 13:30:00,0.0
2000-01-07 14:00:00,0.0
2000-01-07 14:30:00,0.0
2000-01-07 15:00:00,0.0
2000-01-07 15:30:00,0.0
2000-01-07 16:00:00,0.0
2000-01-07 16:30:00,0.0
2000-01-07 17:00:00,0.0
2000-01-07 17:30:00,0.0
2000-01-07 18:00:00,128.94285835371326
2000-01-07 18:30:00,0.0
2000-01-07 19:00:00,145.0671768353227
2000-01-07 19:30:00,0.0
2000-01-07 20:00:00,142.07494033234624
2000-01-07 20:30:00,0.0
2000-01-07 21:00:00,129.92148265442825
2000-01-07 21:30:00,0.0
2000-01-07 22:00:00,123.82016341226813
2000-01-07 22:30:00,0.0
2000-01-07 23:00:00,133.09124354283077
