,HP_Pel_kW,HP_Qth_kW,TES_Qflow_kWh,TES_SoC,EB_Pel_kW,HSUB_Qdem_B_kW,ROOM_Tindoor_Cdeg,CTRL_Tth_Cdeg,CTRL_Qth_spilled_kW,CTRL_QDH_B_kW
2000-01-01 00:30:00,6.024096387911647,31.50000001239,0.0,-1.0,32.77777776401112,36.34061073041252,292.4684815664597,20.0,0.0,0.0
2000-01-01 01:00:00,6.024096387911647,31.50000001239,0.0,-1.0,32.77777776401112,36.3406107304124,292.4684815247991,20.0,0.0,0.0
2000-01-01 01:30:00,6.024096387911647,31.50000001239,0.0,-1.0,5.378456353358229,36.34061073041247,292.55260801169004,20.0,0.0,0.0
2000-01-01 02:00:00,6.024096387911647,31.50000001239,0.0,-1.0,5.378456353358229,36.34061073041251,292.55260801169356,20.0,0.0,0.0
2000-01-01 02:30:00,6.024096387911647,31.50000001239,0.0,-1.0,5.378456353358346,36.340610730412436,292.63798354151805,20.0,0.0,0.0
2000-01-01 03:00:00,6.024096387911647,31.50000001239,0.0,-1.0,5.378456353358346,36.340610730412536,292.6379835418714,20.0,0.0,0.0
2000-01-01 03:30:00,6.024096387911647,31.50000001239,0.0,-1.0,5.378456353358378,36.34061073041246,292.72455158090276,20.0,0.0,0.0
2000-01-01 04:00:00,6.024096387911647,31.50000001239,0.0,-1.0,5.378456353358378,36.34061073041251,292.724551580897,20.0,0.0,0.0
2000-01-01 04:30:00,6.024096387911647,31.50000001239,0.0,-1.0,5.378456353358346,36.3406107304125,292.81158551228214,20.0,0.0,0.0
2000-01-01 05:00:00,6.024096387911647,31.50000001239,0.0,-1.0,5.378456353358346,36.34061073041241,292.8115855123663,20.0,0.0,0.0
2000-01-01 05:30:00,6.024096387911647,31.50000001239,0.0,-1.0,5.378456353358233,36.34061073041246,293.0130171832324,20.0,0.0,0.0
2000-01-01 06:00:00,6.024096387911647,31.50000001239,0.0,-1.0,5.378456353358233,36.34061073041253,293.01301718322554,20.0,0.0,0.0
2000-01-01 06:30:00,6.024096387911647,31.50000001239,0.0,-1.0,5.378456353358369,42.020072295624914,293.1388150623868,20.0,0.0,0.0
2000-01-01 07:00:00,6.024096387911647,31.50000001239,0.0,-1.0,5.378456353358369,42.020072295624914,293.13881506206735,20.0,0.0,0.0
