,HP_Pel_kW,HP_Qth_kW,TES_Qflow_kWh,TES_SoC,EB_Pel_kW,HSUB_Qdem_B_kW,ROOM_Tindoor_Cdeg,CTRL_Tth_Cdeg,CTRL_Qth_spilled_kW,CTRL_QDH_B_kW
2000-01-01 00:30:00,9.916662388655874,61.000000000000014,0.0,-1.0,0.0,91.44995005662192,292.4684815664597,20.0,0.0,0.0
2000-01-01 01:00:00,9.916662388655874,61.000000000000014,0.0,-1.0,0.0,91.44995005662163,292.4684815247991,20.0,0.0,0.0
2000-01-01 01:30:00,15.17179830406961,79.33333333197999,0.0,-1.0,13.462907471824046,91.4499500566218,292.55260801169004,20.0,0.0,0.0
2000-01-01 02:00:00,15.17179830406961,79.33333333197999,0.0,-1.0,13.462907471824046,91.4499500566219,292.55260801169356,20.0,0.0,0.0
2000-01-01 02:30:00,15.17179830406961,79.33333333197999,0.0,-1.0,13.462907471824353,91.44995005662172,292.63798354151805,20.0,0.0,0.0
2000-01-01 03:00:00,15.17179830406961,79.33333333197999,0.0,-1.0,13.462907471824353,91.44995005662196,292.6379835418714,20.0,0.0,0.0
2000-01-01 03:30:00,15.17179830406961,79.33333333197999,0.0,-1.0,13.462907471824407,91.44995005662177,292.72455158090276,20.0,0.0,0.0
2000-01-01 04:00:00,15.17179830406961,79.33333333197999,0.0,-1.0,13.462907471824407,91.4499500566219,292.724551580897,20.0,0.0,0.0
2000-01-01 04:30:00,15.17179830406961,79.33333333197999,0.0,-1.0,13.462907471824353,91.44995005662187,292.81158551228214,20.0,0.0,0.0
2000-01-01 05:00:00,15.17179830406961,79.33333333197999,0.0,-1.0,13.462907471824353,91.44995005662165,292.8115855123663,20.0,0.0,0.0
2000-01-01 05:30:00,15.17179830406961,79.33333333197999,0.0,-1.0,13.462907471824064,91.44995005662177,293.0130171832324,20.0,0.0,0.0
2000-01-01 06:00:00,15.17179830406961,79.33333333197999,0.0,-1.0,13.462907471824064,91.44995005662193,293.01301718322554,20.0,0.0,0.0
2000-01-01 06:30:00,15.17179830406961,79.33333333197999,0.0,-1.0,13.462907471824371,105.74212803734355,293.1388150623868,20.0,0.0,0.0
2000-01-01 07:00:00,15.17179830406961,79.33333333197999,0.0,-1.0,13.462907471824371,105.74212803734355,293.13881506206735,20.0,0.0,0.0
2000-01-01 07:30:00,15.17179830406961,79.33333333197999,0.0,-1.0,29.343105228181738,115.92683578087302,293.150473338159,20.0,0.0,0.0
2000-01-01 08:00:00,15.17179830406961,79.33333333197999,0.0,-1.0,29.343105228181738,115.92683569241173,293.1504733388745,20.0,0.0,0.0
2000-01-01 08:30:00,15.17179830406961,79.33333333197999,0.0,-1.0,40.659447067146374,107.75087128266631,293.15044799641544,20.0,0.0,0.0
2000-01-01 09:00:00,15.17179830406961,79.33333333197999,0.0,-1.0,40.659447067146374,107.75087124550775,293.150447996557,20.0,0.0,0.0
2000-01-01 09:30:00,15.17179830406961,79.33333333197999,0.0,-1.0,31.575042126141966,97.79689903042336,293.1504298272928,20.0,0.0,0.0
2000-01-01 10:00:00,15.17179830406961,79.33333333197999,0.0,-1.0,31.575042126141966,97.79689901913189,293.15042982697565,20.0,0.0,0.0
2000-01-01 10:30:00,15.17179830406961,79.33333333197999,0.0,-1.0,20.515072985724334,92.78428998457373,293.1501839877284,20.0,0.0,0.0
2000-01-01 11:00:00,15.17179830406961,79.33333333197999,0.0,-1.0,20.515072985724334,92.78429000244142,293.1501839880015,20.0,0.0,0.0
2000-01-01 11:30:00,15.17179830406961,79.33333333197999,0.0,-1.0,14.945507411623812,93.96805165210725,293.1503398480544,20.0,0.0,0.0
2000-01-01 12:00:00,15.17179830406961,79.33333333197999,0.0,-1.0,14.945507411623812,93.9680516738915,293.15033984818604,20.0,0.0,0.0
2000-01-01 12:30:00,15.17179830406961,79.33333333197999,0.0,-1.0,16.260798157679446,100.3378505976421,293.14976680128956,20.0,0.0,0.0
