,HP_Pel_kW,HP_Qth_kW,TES_Qflow_kWh,TES_SoC,EB_Pel_kW,HSUB_Qdem_B_kW,ROOM_Tindoor_Cdeg,CTRL_Tth_Cdeg,CTRL_Qth_spilled_kW,CTRL_QDH_B_kW
2000-01-01 00:30:00,1.5618027641231589,8.166666653599998,0.0,-1.0,58.703703718222215,9.99910816205063,292.4684815664597,20.0,0.0,0.0
2000-01-01 01:00:00,1.5618027641231589,8.166666653599998,0.0,-1.0,58.703703718222215,9.999108162050597,292.4684815247991,20.0,0.0,0.0
2000-01-01 01:30:00,1.5618027641231589,8.166666653599998,0.0,-1.0,2.036046120500665,9.999108162050618,292.55260801169004,20.0,0.0,0.0
2000-01-01 02:00:00,1.5618027641231589,8.166666653599998,0.0,-1.0,2.036046120500665,9.999108162050629,292.55260801169356,20.0,0.0,0.0
2000-01-01 02:30:00,1.5618027641231589,8.166666653599998,0.0,-1.0,2.0360461205006986,9.999108162050609,292.63798354151805,20.0,0.0,0.0
2000-01-01 03:00:00,1.5618027641231589,8.166666653599998,0.0,-1.0,2.0360461205006986,9.999108162050634,292.6379835418714,20.0,0.0,0.0
2000-01-01 03:30:00,1.5618027641231589,8.166666653599998,0.0,-1.0,2.036046120500705,9.999108162050616,292.72455158090276,20.0,0.0,0.0
2000-01-01 04:00:00,1.5618027641231589,8.166666653599998,0.0,-1.0,2.036046120500705,9.999108162050629,292.724551580897,20.0,0.0,0.0
2000-01-01 04:30:00,1.5618027641231589,8.166666653599998,0.0,-1.0,2.0360461205006986,9.999108162050613,292.8115855122932,20.0,0.0,0.0
2000-01-01 05:00:00,1.5618027641231589,8.166666653599998,0.0,-1.0,2.0360461205006986,9.999108162050643,292.8115855123783,20.0,0.0,0.0
2000-01-01 05:30:00,1.5618027641231589,8.166666653599998,0.0,-1.0,2.0360461205007145,9.999108162050627,292.9178110783363,20.0,0.0,0.0
2000-01-01 06:00:00,1.5618027641231589,8.166666653599998,0.0,-1.0,2.0360461205007145,9.99910816205063,292.9178110783389,20.0,0.0,0.0
2000-01-01 06:30:00,1.5618027641231589,8.166666653599998,0.0,-1.0,2.0360461205007008,11.561810311281231,293.0107209954732,20.0,0.0,0.0
2000-01-01 07:00:00,1.5618027641231589,8.166666653599998,0.0,-1.0,2.0360461205007008,11.561810311281228,293.0107210120756,20.0,0.0,0.0
2000-01-01 07:30:00,1.5618027641231589,8.166666653599998,0.0,-1.0,3.7723818418680315,13.053480545220797,293.1021765694343,20.0,0.0,0.0
2000-01-01 08:00:00,1.5618027641231589,8.166666653599998,0.0,-1.0,3.7723818418680315,13.053480545220832,293.1021765694168,20.0,0.0,0.0
2000-01-01 08:30:00,1.5618027641231589,8.166666653599998,0.0,-1.0,5.429793212912039,12.556257134545849,293.1129908746497,20.0,0.0,0.0
2000-01-01 09:00:00,1.5618027641231589,8.166666653599998,0.0,-1.0,5.429793212912039,12.556257134545858,293.112990874649,20.0,0.0,0.0
2000-01-01 09:30:00,1.5618027641231589,8.166666653599998,0.0,-1.0,4.877322756606509,11.762054017399082,293.15024278894276,20.0,0.0,0.0
2000-01-01 10:00:00,1.5618027641231589,8.166666653599998,0.0,-1.0,4.877322756606509,11.762054017469746,293.1502427889806,20.0,0.0,0.0
2000-01-01 10:30:00,1.5618027641231589,8.166666653599998,0.0,-1.0,3.994874848744163,11.201479630231372,293.1502341413049,20.0,0.0,0.0
2000-01-01 11:00:00,1.5618027641231589,8.166666653599998,0.0,-1.0,3.994874848744163,11.201479629623604,293.150234141572,20.0,0.0,0.0
2000-01-01 11:30:00,1.5618027641231589,8.166666653599998,0.0,-1.0,3.372014417804005,11.428360313555627,293.15022856396223,20.0,0.0,0.0
2000-01-01 12:00:00,1.5618027641231589,8.166666653599998,0.0,-1.0,3.372014417804005,11.428360312458315,293.15022856426566,20.0,0.0,0.0
2000-01-01 12:30:00,1.5618027641231589,8.166666653599998,0.0,-1.0,3.624104065398128,11.804422615786688,293.1502177081963,20.0,0.0,0.0
2000-01-01 13:00:00,1.5618027641231589,8.166666653599998,0.0,-1.0,3.624104065398128,11.804422615661286,293.1502177082599,20.0,0.0,0.0
2000-01-01 13:30:00,1.5618027641231589,8.166666653599998,0.0,-1.0,4.041951068956986,11.19744415808738,293.15020219954835,20.0,0.0,0.0
2000-01-01 14:00:00,1.5618027641231589,8.166666653599998,0.0,-1.0,4.041951068956986,11.19744414989671,293.1502022019241,20.0,0.0,0.0
2000-01-01 14:30:00,1.5618027641231589,8.166666653599998,0.0,-1.0,3.367530551440789,10.954924574397515,293.15019596890255,20.0,0.0,0.0
2000-01-01 15:00:00,1.5618027641231589,8.166666653599998,0.0,-1.0,3.367530551440789,10.954924573556484,293.1501959692348,20.0,0.0,0.0
2000-01-01 15:30:00,1.5618027641231589,8.166666653599998,0.0,-1.0,3.098064355507205,10.428849787532947,293.1502006299752,20.0,0.0,0.0
2000-01-01 16:00:00,1.5618027641231589,8.166666653599998,0.0,-1.0,3.098064355507205,10.428849787608886,293.15020062993534,20.0,0.0,0.0
2000-01-01 16:30:00,1.5618027641231589,8.166666653599998,0.0,-1.0,2.513536815565429,10.468635639118697,293.15020155755514,20.0,0.0,0.0
2000-01-01 17:00:00,1.5618027641231589,8.166666653599998,0.0,-1.0,2.513536815565429,10.468635641292385,293.1502015587518,20.0,0.0,0.0
2000-01-01 17:30:00,1.5618027641231589,8.166666653599998,0.0,-1.0,2.557743319658208,11.30785739274487,293.15055920417564,20.0,0.0,0.0
2000-01-01 18:00:00,1.5618027641231589,8.166666653599998,0.0,-1.0,2.557743319658208,11.307857389109538,293.15055920576697,20.0,0.0,0.0
2000-01-01 18:30:00,1.5618027641231589,8.166666653599998,0.0,-1.0,3.4902119283439315,10.987334779687947,293.1502782747123,20.0,0.0,0.0
2000-01-01 19:00:00,1.5618027641231589,8.166666653599998,0.0,-1.0,3.4902119283439315,10.987334777801749,293.1502782755838,20.0,0.0,0.0
2000-01-01 19:30:00,1.5618027641231589,8.166666653599998,0.0,-1.0,3.1340756935574996,10.124855657648272,293.150240514439,20.0,0.0,0.0
2000-01-01 20:00:00,1.5618027641231589,8.166666653599998,0.0,-1.0,3.1340756935574996,10.124855666127491,293.1502405120632,20.0,0.0,0.0
2000-01-01 20:30:00,1.5618027641231589,8.166666653599998,0.0,-1.0,2.1757655694749904,9.643757147467706,293.1502171995071,20.0,0.0,0.0
2000-01-01 21:00:00,1.5618027641231589,8.166666653599998,0.0,-1.0,2.1757655694749904,9.643757141643684,293.1502172001636,20.0,0.0,0.0
2000-01-01 21:30:00,1.5618027641231589,8.166666653599998,0.0,-1.0,1.6412116533818728,10.108734021894955,293.15018794806764,20.0,0.0,0.0
2000-01-01 22:00:00,1.5618027641231589,8.166666653599998,0.0,-1.0,1.6412116533818728,10.10873400880259,293.15018794668447,20.0,0.0,0.0
2000-01-01 22:30:00,1.5618027641231589,8.166666653599998,0.0,-1.0,2.1578526168917693,8.956709537468027,293.1500756068329,20.0,0.0,0.0
2000-01-01 23:00:00,1.5618027641231589,8.166666653599998,0.0,-1.0,2.1578526168917693,8.956709535667386,293.1500756066099,20.0,0.0,0.0
2000-01-01 23:30:00,1.5618027641231589,8.166666653599998,0.0,-1.0,0.8778254245193187,7.135160699661782,293.15013361453276,20.0,0.0,0.0
2000-01-02 00:00:00,1.5618027641231589,8.166666653599998,0.0,-1.0,0.8778254245193187,7.135160699661782,293.15013361453276,20.0,0.0,0.0
2000-01-02 00:30:00,1.253428312208788,7.135160699661781,0.0,-1.0,0.0,7.022016048863385,293.15012900608843,20.0,0.0,0.0
2000-01-02 01:00:00,1.253428312208788,7.135160699661781,0.0,-1.0,0.0,7.022016055572163,293.15012900468355,20.0,0.0,0.0
2000-01-02 01:30:00,1.2214560931147984,7.022016055572163,0.0,-1.0,0.0,6.911763809439599,293.15012686544236,20.0,0.0,0.0
2000-01-02 02:00:00,1.2214560931147984,7.022016055572163,0.0,-1.0,0.0,6.9117638105708945,293.15012686493685,20.0,0.0,0.0
2000-01-02 02:30:00,1.1906568938968596,6.9117638105708945,0.0,-1.0,0.0,6.801199309954435,293.1501296372462,20.0,0.0,0.0
2000-01-02 03:00:00,1.1906568938968596,6.9117638105708945,0.0,-1.0,0.0,6.801199304835811,293.1501296385404,20.0,0.0,0.0
2000-01-02 03:30:00,1.1601239197773037,6.80119930483581,0.0,-1.0,0.0,6.686314120801523,293.15013680340263,20.0,0.0,0.0
2000-01-02 04:00:00,1.1601239197773037,6.80119930483581,0.0,-1.0,0.0,6.686314121051667,293.1501368033922,20.0,0.0,0.0
2000-01-02 04:30:00,1.128773680207621,6.686314121051668,0.0,-1.0,0.0,6.564696021003758,293.1501452371,20.0,0.0,0.0
